candidate,dataset_period,ym,trades,pnl_pts,exp_pts,exp_sg
PREFADE-F,SPX500_TRAIN,2006-12,13,5.0172210420385,0.3859400801568077,0.773539609951481
PREFADE-F,SPX500_TRAIN,2007-01,14,11.741505000142297,0.8386789285815927,1.197086158841215
PREFADE-F,SPX500_TRAIN,2007-02,11,1.8213194319550894,0.16557449381409903,0.16682650628972093
PREFADE-F,SPX500_TRAIN,2007-03,16,11.194568271733033,0.6996605169833146,0.33390975051850924
PREFADE-F,SPX500_TRAIN,2007-04,8,-3.0619634510437663,-0.3827454313804708,-0.6104213579077062
PREFADE-F,SPX500_TRAIN,2007-05,11,11.9781967344029,1.088926975854809,0.9764417600957166
PREFADE-F,SPX500_TRAIN,2007-06,8,11.735671175084008,1.466958896885501,1.0694666749881123
PREFADE-F,SPX500_TRAIN,2007-07,10,5.954719134196694,0.5954719134196693,0.19837647951496368
PREFADE-F,SPX500_TRAIN,2007-08,9,4.627413104714606,0.5141570116349562,0.0771058399833166
PREFADE-F,SPX500_TRAIN,2007-09,6,5.982253141977253,0.9970421903295422,0.5125593037992354
PREFADE-F,SPX500_TRAIN,2007-10,5,8.666652246625745,1.733330449325149,0.7505203853484579
PREFADE-F,SPX500_TRAIN,2007-11,2,10.132553709751619,5.0662768548758095,1.5979537519160532
PREFADE-F,SPX500_TRAIN,2007-12,6,16.051782327932187,2.6752970546553647,0.6446601407949207
PREFADE-F,SPX500_TRAIN,2008-01,10,34.06789891874587,3.406789891874587,0.7203131501507867
PREFADE-F,SPX500_TRAIN,2008-02,12,6.995391347407121,0.5829492789505935,-0.11634753763858931
PREFADE-F,SPX500_TRAIN,2008-03,5,4.61638095241824,0.923276190483648,0.18974439761869605
PREFADE-F,SPX500_TRAIN,2008-04,8,5.925219184485286,0.7406523980606607,0.3376026060620323
PREFADE-F,SPX500_TRAIN,2008-05,2,1.8005778475489933,0.9002889237744967,0.7706283380268135
PREFADE-F,SPX500_TRAIN,2008-06,8,6.539751742831413,0.8174689678539266,0.5939251850707232
PREFADE-F,SPX500_TRAIN,2008-07,7,18.051941668973996,2.578848809853428,1.1069929378351393
PREFADE-F,SPX500_TRAIN,2008-08,9,8.368296509211632,0.9298107232457369,0.47060139474238777
