time,D1,D2
2022-10-16,0.27765044495096175,0.55
2022-10-23,0.2770743529764775,0.55
2022-10-30,0.27937129532800176,0.55
2022-11-06,0.27507320113368966,0.55
2022-11-13,0.2967249864695977,0.55
2022-11-20,0.2953178797835638,0.55
2022-11-27,0.2957052804281613,0.55
2022-12-04,0.29637424429469744,0.55
2022-12-11,0.2937724374765961,0.55
2022-12-18,0.2658841725426994,0.5317683450853988
2022-12-25,0.26432495553999574,0.5286499110799915
2023-01-01,0.25729227166724156,0.5145845433344831
2023-01-08,0.25308083589083064,0.5061616717816613
2023-01-15,0.27337976433435796,0.5467595286687159
2023-01-22,0.27310872641933065,0.5462174528386613
2023-01-29,0.2736384938854331,0.5472769877708662
2023-02-05,0.27201002056640805,0.5440200411328161
2023-02-12,0.26795725504151774,0.5359145100830355
2023-02-19,0.26603217805514107,0.5320643561102821
2023-02-26,0.2587903537516411,0.5175807075032822
2023-03-05,0.2587263222755482,0.5174526445510964
2023-03-12,0.25384539398714073,0.5076907879742815
2023-03-19,0.27453939902219887,0.5490787980443977
2023-03-26,0.2738257182817529,0.5476514365635058
2023-04-02,0.2736657868659193,0.5473315737318386
2023-04-09,0.27357937040599406,0.5471587408119881
2023-04-16,0.27445912497744096,0.5489182499548819
2023-04-23,0.27762615494246695,0.55
2023-04-30,0.27639507607515057,0.55
2023-05-07,0.27667538533210695,0.55
2023-05-14,0.24924295227239515,0.4984859045447903
2023-05-21,0.24249766204587764,0.4849953240917553
2023-05-28,0.24295284445324872,0.48590568890649743
2023-06-04,0.2439815040944169,0.4879630081888338
2023-06-11,0.24491761413909383,0.48983522827818765
2023-06-18,0.2437879131952972,0.4875758263905944
2023-06-25,0.2515609356325924,0.5031218712651848
2023-07-02,0.2511474737261802,0.5022949474523604
2023-07-09,0.251584879959879,0.503169759919758
2023-07-16,0.23777399829849483,0.47554799659698965
2023-07-23,0.2347630408139092,0.4695260816278184
2023-07-30,0.23323843065201819,0.46647686130403637
2023-08-06,0.2316277825187392,0.4632555650374784
2023-08-13,0.22942223680740437,0.45884447361480873
2023-08-20,0.23157575471631614,0.4631515094326323
2023-08-27,0.2309782228794078,0.4619564457588156
2023-09-03,0.22940626782232718,0.45881253564465435
2023-09-10,0.22816503594148055,0.4563300718829611
2023-09-17,0.19835200204725198,0.39670400409450396
2023-09-24,0.19768232266205266,0.3953646453241053
2023-10-01,0.1991652676038273,0.3983305352076546
2023-10-08,0.19745709721657365,0.3949141944331473
2023-10-15,0.19358412284929136,0.3871682456985827
2023-10-22,0.19558732443925664,0.3911746488785133
2023-10-29,0.2066474217502653,0.4132948435005306
2023-11-05,0.20621749275088833,0.41243498550177665
2023-11-12,0.20429867594905132,0.40859735189810265
2023-11-19,0.20334102414662658,0.40668204829325316
2023-11-26,0.20261153169260335,0.4052230633852067
2023-12-03,0.2012491606464279,0.4024983212928558
2023-12-10,0.20260614714915162,0.40521229429830324
2023-12-17,0.20536380150789854,0.4107276030157971
2023-12-24,0.19565085285791814,0.3913017057158363
2023-12-31,0.1958541853043227,0.3917083706086454
2024-01-07,0.19443571179647046,0.3888714235929409
2024-01-14,0.19654827275987713,0.39309654551975426
2024-01-21,0.19357551276760757,0.38715102553521513
2024-01-28,0.19243390087242676,0.3848678017448535
2024-02-04,0.19097947099587315,0.3819589419917463
2024-02-11,0.19900603284280446,0.39801206568560893
2024-02-18,0.1900169632924345,0.380033926584869
2024-02-25,0.19012577388730054,0.3802515477746011
2024-03-03,0.20848667780778793,0.41697335561557586
2024-03-10,0.20973731530071765,0.4194746306014353
2024-03-17,0.2100772609622556,0.4201545219245112
2024-03-24,0.20899460001850148,0.41798920003700296
2024-03-31,0.20915752047215752,0.41831504094431504
2024-04-07,0.209527445663833,0.419054891327666
2024-04-14,0.21140757361013474,0.42281514722026947
2024-04-21,0.21002784058033183,0.42005568116066366
2024-04-28,0.2049270056680138,0.4098540113360276
2024-05-05,0.20331180704430532,0.40662361408861064
2024-05-12,0.20415580333574412,0.40831160667148825
2024-05-19,0.20598894632633527,0.41197789265267054
2024-05-26,0.20572112222714495,0.4114422444542899
2024-06-02,0.20531268682396653,0.41062537364793306
2024-06-09,0.20141174354883715,0.4028234870976743
2024-06-16,0.19271513482513006,0.3854302696502601
2024-06-23,0.19515285765286822,0.39030571530573643
2024-06-30,0.1937447216017378,0.3874894432034756
2024-07-07,0.20223521989125795,0.4044704397825159
2024-07-14,0.20369100588983077,0.40738201177966155
2024-07-21,0.2078365486089904,0.4156730972179808
2024-07-28,0.2079044028642555,0.415808805728511
2024-08-04,0.22345397354810337,0.44690794709620674
2024-08-11,0.217872503636932,0.435745007273864
2024-08-18,0.21384457176385097,0.42768914352770193
2024-08-25,0.2165330293681908,0.4330660587363816
2024-09-01,0.20797570118791645,0.4159514023758329
2024-09-08,0.20404381009569478,0.40808762019138956
2024-09-15,0.20610000407930884,0.4122000081586177
2024-09-22,0.2089209457166514,0.4178418914333028
2024-09-29,0.20788121884435481,0.41576243768870963
2024-10-06,0.20872402188224012,0.41744804376448025
2024-10-13,0.2074213932999057,0.4148427865998114
2024-10-20,0.2121820290644113,0.4243640581288226
2024-10-27,0.2117091004680803,0.4234182009361606
2024-11-03,0.21164423648287117,0.42328847296574235
2024-11-10,0.21500527512600337,0.43001055025200674
2024-11-17,0.21821979074508166,0.4364395814901633
2024-11-24,0.22089299280024224,0.4417859856004845
2024-12-01,0.22081383514864417,0.44162767029728833
2024-12-08,0.220894311613733,0.441788623227466
2024-12-15,0.2195170500807416,0.4390341001614832
2024-12-22,0.223949283265071,0.447898566530142
2024-12-29,0.22418192244595056,0.4483638448919011
2025-01-05,0.21790684468265725,0.4358136893653145
2025-01-12,0.21425297763784157,0.42850595527568314
2025-01-19,0.21149511554491274,0.4229902310898255
2025-01-26,0.21130859695431686,0.4226171939086337
2025-02-02,0.20034312654063702,0.40068625308127404
2025-02-09,0.20030455965298077,0.40060911930596155
2025-02-16,0.1992244444900458,0.3984488889800916
2025-02-23,0.19643266089378933,0.39286532178757866
2025-03-02,0.1876086165265784,0.3752172330531568
2025-03-09,0.20377071151985607,0.40754142303971214
2025-03-16,0.1957904169066463,0.3915808338132926
2025-03-23,0.19448144237382686,0.3889628847476537
2025-03-30,0.19587914087089314,0.3917582817417863
2025-04-06,0.19684871489707187,0.39369742979414374
2025-04-13,0.19850761486565632,0.39701522973131265
2025-04-20,0.193851848531729,0.387703697063458
2025-04-27,0.1977057805203134,0.3954115610406268
2025-05-04,0.19760463030956232,0.39520926061912465
2025-05-11,0.19112768151453208,0.38225536302906415
2025-05-18,0.18594000223187274,0.3718800044637455
2025-05-25,0.18244301386574124,0.3648860277314825
2025-06-01,0.18294262173253553,0.36588524346507106
2025-06-08,0.18200992168677835,0.3640198433735567
2025-06-15,0.18136052702321434,0.3627210540464287
2025-06-22,0.1757232234021011,0.3514464468042022
