n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
1390,0.27596593512317297,0.07150345669218724,1.063503872572307,0.45158885669787197,0.560431654676259,5,10,0.5,4,2.5,240,"(570, 810)"
1030,0.1535293254140461,0.08389493956107265,1.0364137836554246,0.25980326917057117,0.5737864077669903,6,10,0.5,4,2.5,240,"(570, 690)"
2429,0.3912539757073832,0.1036795662281088,1.104846945395884,0.792649847841776,0.5829559489501852,8,10,0.5,4,2.5,300,"(240, 810)"
1864,0.4794486379980285,0.12432685789729714,1.1199222608464539,0.8589290817616311,0.5826180257510729,7,10,0.5,4,2.5,300,"(450, 810)"
1390,0.2874399370637029,0.07612195835187413,1.0649096083613776,0.4623498062901824,0.5654676258992806,6,10,0.5,4,2.5,300,"(570, 810)"
1030,0.11045188830021377,0.08043935035324726,1.025477037977734,0.18293331183725192,0.5757281553398058,6,10,0.5,4,2.5,300,"(570, 690)"
2380,0.3521262698429455,0.07766574588309645,1.0979866499599624,0.710250163545252,0.5873949579831933,8,10,0.5,4,3.0,180,"(240, 810)"
1823,0.4878866964244135,0.10299425365000847,1.125846524165522,0.8638082725554646,0.594075699396599,7,10,0.5,4,3.0,180,"(450, 810)"
1363,0.34719769359322783,0.07280035073497337,1.0825935883163058,0.5556167227103507,0.574468085106383,7,10,0.5,4,3.0,180,"(570, 810)"
1011,0.10255908620848826,0.07033325672068058,1.0244579518642527,0.17157548551960616,0.5776458951533135,5,10,0.5,4,3.0,180,"(570, 690)"
2371,0.3894883479216732,0.09550792556168398,1.103766618658501,0.7554861245587418,0.6094474905103332,9,10,0.5,4,3.0,240,"(240, 810)"
1823,0.47732690481082024,0.10417585592300725,1.1181085980423031,0.8174074020312414,0.6061437191442677,7,10,0.5,4,3.0,240,"(450, 810)"
1363,0.30777571013229843,0.07001225355619488,1.0693689786693477,0.4721448035883816,0.5898752751283932,6,10,0.5,4,3.0,240,"(570, 810)"
1011,0.18001862325426288,0.08535956079825571,1.041854316775248,0.2930389889830263,0.6063303659742829,5,10,0.5,4,3.0,240,"(570, 690)"
2370,0.3801896166673433,0.0970207029352309,1.0987373106899587,0.7209006603193375,0.619409282700422,9,10,0.5,4,3.0,300,"(240, 810)"
1823,0.4796236105439275,0.10651657709736025,1.11645153324294,0.8082784851482006,0.6138233680746022,8,10,0.5,4,3.0,300,"(450, 810)"
1363,0.30187873976988905,0.07145793916218875,1.0665291431813748,0.4544865336661894,0.5979457079970653,7,10,0.5,4,3.0,300,"(570, 810)"
1011,0.14053522159982307,0.08116920875266043,1.0317914443777958,0.2236674270476184,0.6122650840751731,4,10,0.5,4,3.0,300,"(570, 690)"
1532,0.7070927223620043,0.11869309194807541,1.203148964270301,1.4173606279517237,0.5234986945169713,8,10,0.5,5,2.0,180,"(240, 810)"
1169,0.8519283770451557,0.1350714565507492,1.225908692370158,1.501986024550792,0.5312232677502139,8,10,0.5,5,2.0,180,"(450, 810)"
859,0.8845913148109908,0.11324705130805357,1.2181817209260455,1.4130914470027478,0.5180442374854481,7,10,0.5,5,2.0,180,"(570, 810)"
593,0.6441900974056557,0.11955631565482168,1.1649653923884118,1.0758770328586198,0.5126475548060708,7,10,0.5,5,2.0,180,"(570, 690)"
1529,0.7103007270600493,0.12140592188796487,1.1930854955899337,1.3709797381100364,0.5343361674296926,7,10,0.5,5,2.0,240,"(240, 810)"
1169,0.8023810108763153,0.12822642832379436,1.2021110428908177,1.373455883342943,0.5355004277159966,8,10,0.5,5,2.0,240,"(450, 810)"
859,0.7892789356473336,0.10061327246352753,1.1820422966570874,1.2176031304875683,0.5227008149010477,7,10,0.5,5,2.0,240,"(570, 810)"
593,0.6610168005529561,0.12269440446082087,1.1610839734255063,1.0727611177144591,0.5311973018549747,7,10,0.5,5,2.0,240,"(570, 690)"
1529,0.7391764906122673,0.12627610585358148,1.1973074048908698,1.4058709983575906,0.539568345323741,7,10,0.5,5,2.0,300,"(240, 810)"
