n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
714,0.07768932124847633,0.15904507956896402,1.0306804017094489,0.1953154691035883,0.5756302521008403,6,10,0.5,4,2.5,300,"(570, 690)"
1819,0.5887767195287041,0.22540764739957317,1.3059494510630274,1.9724925728341303,0.6041781198460693,7,10,0.5,4,3.0,180,"(240, 810)"
1378,0.7328666760461027,0.25607950169205196,1.357593705282388,2.1276689445341948,0.6153846153846154,9,10,0.5,4,3.0,180,"(450, 810)"
1032,0.5023047237771318,0.16463450245383754,1.2282538340564595,1.3685698533281605,0.5833333333333334,8,10,0.5,4,3.0,180,"(570, 810)"
704,0.34086867643797786,0.1845267251635317,1.1562672486957353,0.9434662105970748,0.5965909090909091,6,10,0.5,4,3.0,180,"(570, 690)"
1812,0.5270260306514744,0.2122812839919617,1.2470129521274353,1.6329080850335806,0.6181015452538632,7,10,0.5,4,3.0,240,"(240, 810)"
1376,0.6331415901231081,0.23510137196301925,1.281212167288193,1.7280892005068582,0.6148255813953488,8,10,0.5,4,3.0,240,"(450, 810)"
1029,0.34904707994338174,0.1333640195195948,1.1403088711685656,0.8625304553996542,0.5840621963070942,6,10,0.5,4,3.0,240,"(570, 810)"
704,0.20607956250278728,0.16482544563776644,1.0842447415682201,0.5274995296517067,0.6022727272727273,6,10,0.5,4,3.0,240,"(570, 690)"
1810,0.48054212544343433,0.19731620670012576,1.2159078900952656,1.4446364679502155,0.6226519337016575,7,10,0.5,4,3.0,300,"(240, 810)"
1376,0.5850028003037323,0.22153322614957732,1.2499453673715013,1.5562820058118743,0.6184593023255814,8,10,0.5,4,3.0,300,"(450, 810)"
1029,0.28809402682105195,0.11570519797277273,1.1110861157144112,0.6971356849490274,0.5840621963070942,7,10,0.5,4,3.0,300,"(570, 810)"
