level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
2.0,3.0,240,"(420, 570)",vwap,1978,0.30442871927000464,1.2217403761466286,1.3377797745184592,-0.2475712807299954,10,10,0.6895854398382204,-82.46282096950313,0.17359723763279875
2.0,3.0,240,"(420, 570)",l1,2476,0.2318753766060078,1.3867257720518453,2.046550466724943,-0.3201246233939923,10,10,0.7281906300484653,-42.133433754641146,0.08638575377649046
2.0,3.0,240,"(450, 570)",vwap,1715,0.29722054378422286,1.2116572115173192,1.2256411018742972,-0.2547794562157772,8,10,0.6909620991253644,-148.5872732985158,0.22508501789435992
2.0,3.0,240,"(450, 570)",l1,2114,0.2576733100704968,1.4370078429272584,2.1589794105045947,-0.2943266899295032,10,10,0.7350993377483444,-55.72854955445018,0.10089214829691077
2.0,3.0,240,"(480, 570)",vwap,1447,0.2888069912213165,1.1974007285259585,1.1311056211977404,-0.26319300877868357,8,10,0.6869384934346925,-134.46227840530878,0.24711490726815263
2.0,3.0,240,"(480, 570)",l1,1744,0.2579097937909436,1.4275936559760447,2.047629078195051,-0.29409020620905646,10,10,0.7362385321100917,-62.042278483110294,0.11026383289876554
2.5,2.0,120,"(420, 570)",vwap,1234,0.376430356208903,1.2990822373206046,1.837101553199869,-0.17556964379109702,9,10,0.5429497568881686,-48.302004954781296,0.1914182430140452
2.5,2.0,120,"(420, 570)",l1,1322,0.2875991766131869,1.3851179612148345,2.1805527712858,-0.26440082338681314,10,10,0.6860816944024206,-36.225838824066614,0.13918153072368225
2.5,2.0,120,"(450, 570)",vwap,1062,0.45044345560059607,1.3524765411748718,2.1159440743202174,-0.10155654439940398,9,10,0.5480225988700564,-34.61119921614477,0.1858738633338113
2.5,2.0,120,"(450, 570)",l1,1135,0.3526919852501607,1.4932163640464244,2.6968656033943406,-0.19930801474983934,10,10,0.6986784140969163,-27.00495251777761,0.13219324085021844
2.5,2.0,120,"(480, 570)",vwap,880,0.5002174641275522,1.3836009927898834,2.25872379514027,-0.051782535872447855,9,10,0.5545454545454546,-47.59180221413658,0.20199545682042988
2.5,2.0,120,"(480, 570)",l1,933,0.3810216945540334,1.525625558575878,2.8054837547090687,-0.17097830544596665,10,10,0.6977491961414791,-24.52516414988304,0.14885703152886812
2.5,2.0,180,"(420, 570)",vwap,1234,0.4000913097042324,1.298445568236725,1.8308055868101794,-0.15190869029576765,8,10,0.5445705024311183,-45.06837242451604,0.2062960193561768
