level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
1.5,2.5,180,"(450, 570)",vwap,2612,0.5906044958890233,1.3157708986886327,1.9015992363599226,-0.0393955041109767,10,10,0.7120980091883614,-143.67160563288098,0.08890619671396427
1.5,2.5,180,"(450, 570)",l1,4018,0.20411595402954388,1.2899231220143699,1.6112210339134037,-0.42588404597045615,9,10,0.7421602787456446,-109.92712297298294,0.07580694051682363
1.5,2.5,180,"(480, 570)",vwap,2212,0.6135990088121954,1.3237665309936544,1.8825688590706375,-0.01640099118780458,10,10,0.7183544303797469,-129.59135887646653,0.09193265558362448
1.5,2.5,180,"(480, 570)",l1,3275,0.20865376606586825,1.297559761085971,1.5414084409519369,-0.42134623393413173,10,10,0.7389312977099237,-93.61859611077443,0.09001219348027804
1.5,2.5,240,"(420, 570)",vwap,3003,0.5210868419550088,1.2765689783710257,1.788571811406556,-0.10891315804499124,9,10,0.7062937062937062,-158.75286146423014,0.08017001055534913
1.5,2.5,240,"(420, 570)",l1,4712,0.16947953298979213,1.233039395352056,1.3913597058179537,-0.4605204670102079,9,10,0.740874363327674,-128.7946489855874,0.080580964529853
1.5,2.5,240,"(450, 570)",vwap,2612,0.5824826210791951,1.309717564524152,1.8628997369713267,-0.047517378920804876,10,10,0.7128637059724349,-142.3716056328808,0.0901458646000051
1.5,2.5,240,"(450, 570)",l1,4018,0.20274711381052946,1.2874200178877626,1.5939405428324556,-0.42725288618947055,9,10,0.7421602787456446,-110.92712297298294,0.07631874848838782
1.5,2.5,240,"(480, 570)",vwap,2212,0.6118553263130265,1.3221065435217976,1.871168471450652,-0.018144673686973478,10,10,0.719258589511754,-129.59135887646653,0.09219464784837969
1.5,2.5,240,"(480, 570)",l1,3275,0.20697437675289113,1.2944595743720588,1.5216547992810439,-0.4230256232471089,10,10,0.7389312977099237,-94.36091332707929,0.09074255207896045
1.5,3.0,120,"(420, 570)",vwap,2967,0.6062948603802902,1.3406809230400463,2.0613621139927796,-0.02370513961970977,9,10,0.7256488035052241,-153.0326545402604,0.06936464124273031
1.5,3.0,120,"(420, 570)",l1,4696,0.19522527338455992,1.2789632384555123,1.5755914316364967,-0.4347747266154401,9,10,0.7425468483816013,-110.6721311929864,0.06709261964093181
1.5,3.0,120,"(450, 570)",vwap,2575,0.6885492371326047,1.3837903026177258,2.1877860256473776,0.05854923713260474,10,10,0.7409708737864078,-128.26581878253728,0.07735523655103142
1.5,3.0,120,"(450, 570)",l1,4004,0.2260238628370941,1.331459817281851,1.7628920008215385,-0.4039761371629059,10,10,0.744005994005994,-103.91592406916243,0.06869853744148863
1.5,3.0,120,"(480, 570)",vwap,2188,0.7188636314851581,1.392798237171987,2.177488988667285,0.08886363148515808,10,10,0.7495429616087751,-139.62669958511788,0.07933151484901317
1.5,3.0,120,"(480, 570)",l1,3264,0.22721869612557583,1.3333854827216094,1.650905438967793,-0.4027813038744242,10,10,0.7405024509803921,-94.55848516881815,0.0829363013933553
1.5,3.0,180,"(420, 570)",vwap,2952,0.5786583822916337,1.3103917536917575,1.8730775017131351,-0.051341617708366316,9,10,0.7411924119241192,-170.03274522660013,0.07304676306228276
1.5,3.0,180,"(420, 570)",l1,4694,0.1908177987830632,1.2711151614083969,1.5281207521707805,-0.4391822012169368,9,10,0.7424371538133788,-110.6721311929864,0.06867155952430168
1.5,3.0,180,"(450, 570)",vwap,2575,0.6590459535209294,1.3558190679160114,2.0116434479963146,0.029045953520929424,10,10,0.7499029126213592,-166.83630682064586,0.08081817182985464
1.5,3.0,180,"(450, 570)",l1,4004,0.22302342681488008,1.3256269474004998,1.7314106482244034,-0.4069765731851199,10,10,0.744005994005994,-106.2122773697024,0.0696227702423054
1.5,3.0,180,"(480, 570)",vwap,2188,0.6880165424463363,1.3683344960347068,2.026096050123398,0.05801654244633625,9,10,0.7541133455210237,-160.33421090117326,0.08288832802305544
1.5,3.0,180,"(480, 570)",l1,3264,0.226299578478517,1.331589739788585,1.641190025797948,-0.403700421521483,10,10,0.7405024509803921,-94.55848516881815,0.08327314788111691
1.5,3.0,240,"(420, 570)",vwap,2952,0.5559729166589454,1.2940841278987463,1.7752927661859814,-0.07402708334105457,9,10,0.7422086720867209,-170.03274522660013,0.07602730363067349
1.5,3.0,240,"(420, 570)",l1,4694,0.1896460902189388,1.2690025626182757,1.5135659571681999,-0.4403539097810612,9,10,0.7424371538133788,-110.6721311929864,0.0690958395836138
1.5,3.0,240,"(450, 570)",vwap,2575,0.6427442992595698,1.3435780009618912,1.941471295924317,0.012744299259569769,10,10,0.7506796116504855,-164.34526644759399,0.08286792924773162
1.5,3.0,240,"(450, 570)",l1,4004,0.2216498004412537,1.322973627215673,1.7136209859979503,-0.4083501995587463,10,10,0.744005994005994,-107.2122773697024,0.07005424220040944
1.5,3.0,240,"(480, 570)",vwap,2188,0.679828187611706,1.3618534158904727,1.9906209725577313,0.04982818761170604,9,10,0.7550274223034735,-159.35571871752973,0.08388669651360953
