n,total_pts,expectancy_pts,median_pts,win_rate,avg_win,avg_loss,payoff,profit_factor,skew,kurtosis,worst,best,t_stat,sharpe_d,sortino_d,max_dd_pts,avg_dd_pts,longest_dd_days,recovery_factor,longest_losing_streak,share_top5,share_top1pct,pnl_wo_top10,level,stop_sigma,time_stop,window
2756,-758.3409348983772,-0.27515999089200915,0.7932727138374912,0.5605950653120464,3.177429957445391,-4.679991923329072,0.6789391967978341,0.8661941032639585,0.04492436675130987,2.6023819388019427,-21.927664904854172,32.99140946712452,-2.9759799806685385,-1.1001137432616566,-1.6981235362815337,-826.6050478194375,-462.43796110166113,1851,-0.9174162883457474,7,,,-978.1010018908373,1.5,1.5,120,"(450, 570)"
2318,-630.7703604612121,-0.2721183608547076,0.87,0.5647109577221743,3.218279155252462,-4.800295118619113,0.6704336037110683,0.8697696603149537,-0.03784342848982986,2.057021495518818,-21.927664904854172,32.26681723062904,-2.650083767828986,-1.0332534069160617,-1.5844781130575991,-649.6260323282172,-385.4874948000618,1661,-0.9709745747111832,9,,,-832.9546270759595,1.5,1.5,120,"(480, 570)"
3211,-911.450046780976,-0.28385239700435255,0.7866666706494198,0.5602616007474307,3.1250806036797028,-4.627103436827735,0.6753859398963871,0.8604952591172806,-0.13484478900507268,2.1792489337984065,-25.56839652821316,32.26681723062904,-3.3726736372066948,-1.2189006447457988,-1.7787857923745973,-937.4337240466626,-509.972995736177,1984,-0.9722821180856032,7,,,-1117.853379632311,1.5,1.5,180,"(420, 570)"
2756,-733.2860839930415,-0.26606897096989895,0.8260233182284037,0.5627721335268505,3.191560573985063,-4.716511646675415,0.6766781920775574,0.8709774903836444,-0.025316580248866082,2.731206589322077,-25.56839652821316,32.99140946712452,-2.8518250411884023,-1.0536345013353623,-1.5961959065193387,-784.5421948190078,-440.0664224436283,1851,-0.9346674899521488,7,,,-953.0461509855031,1.5,1.5,180,"(450, 570)"
2318,-612.1199419551084,-0.26407245123171197,0.87,0.5660051768766178,3.2170786279813095,-4.804102486944918,0.669652372472002,0.8733438495857523,-0.12834331857170062,2.5228138215297418,-28.781346457953422,32.26681723062904,-2.558400157410163,-0.996220302593533,-1.4883874549640888,-630.9756138221135,-371.1538234373418,1661,-0.9701166392900741,9,,,-814.3042085698546,1.5,1.5,180,"(480, 570)"
3211,-913.2732169628478,-0.28442018591181806,0.7871768800160862,0.5605730302086578,3.1262815001089534,-4.635421628036119,0.6744330399634995,0.8603681587060942,-0.17045899293831324,2.375111169931247,-27.969864358202248,32.26681723062904,-3.3703594664912284,-1.2178347708963844,-1.7661060665971318,-939.2568942285344,-509.40918073720627,1984,-0.9723359206353863,7,,,-1119.6765498141815,1.5,1.5,240,"(420, 570)"
2756,-744.8474561676014,-0.27026395361669137,0.8260233182284037,0.5627721335268505,3.1929651466373152,-4.727914023736164,0.6753433185559753,0.869259325377857,-0.06335141384761896,2.9224832225478212,-27.969864358202248,32.99140946712452,-2.8875390750364334,-1.0667076415204912,-1.6043512200600802,-796.1035669935677,-442.8339130192133,1851,-0.9356162778926599,7,,,-964.6075231600616,1.5,1.5,240,"(450, 570)"
2318,-610.841449771466,-0.26352090154075325,0.87,0.5660051768766178,3.2187390640968916,-4.804997119151677,0.669873255754451,0.8736319200296616,-0.12919933672942124,2.5211618525841595,-28.781346457953422,32.26681723062904,-2.5525244321814204,-0.993811221288176,-1.4842094520066382,-629.6971216384711,-370.75757856593634,1661,-0.9700559662430238,9,,,-813.0257163862118,1.5,1.5,240,"(480, 570)"
3096,-724.3478161967978,-0.23396247293178224,1.0735211204969302,0.625,2.953238875654346,-5.54596472057533,0.5325022830920536,0.8875038051534226,-0.6321298800006094,2.81134292500671,-30.119536998773928,32.26681723062904,-2.514382540479274,-0.916743414399405,-1.2340832588977697,-773.2768459776382,-433.7413653740047,1984,-0.9367250810167583,7,,,-930.7511490481313,1.5,2.0,120,"(420, 570)"
2668,-501.87397993567566,-0.18810868813181247,1.1699999999997273,0.6334332833583208,3.034466066558256,-5.756770585295632,0.5271125575698835,0.910859122999083,-0.5397914911799454,2.9663102703771695,-29.026886539806018,32.99140946712452,-1.8198272218168035,-0.6752977380773957,-0.9455323766082803,-635.1979399952069,-326.3363623146778,1851,-0.7901064350735353,6,,,-721.6340469281358,1.5,2.0,120,"(450, 570)"
2248,-315.7190146891346,-0.14044440155210614,1.2171327103496834,0.641459074733096,3.0834009242642932,-5.908167676772017,0.5218878496605124,0.9337000982760035,-0.5777160724105764,2.5035602771195813,-29.026886539806018,32.26681723062904,-1.2283845499109967,-0.48303807989156117,-0.6674203982250414,-371.56962394715885,-218.46604920752216,1661,-0.8496900562948755,7,,,-517.9032813038805,1.5,2.0,120,"(480, 570)"
3086,-725.8281597559342,-0.23520031100321911,1.1647451722367306,0.6325340246273493,2.9827924698640977,-5.774461253025267,0.5165490491950914,0.8891567407661537,-0.7534575513498817,3.103220985886737,-33.881195370950884,32.26681723062904,-2.460668751015644,-0.8962411462125144,-1.1847793994580083,-785.795126123774,-414.17593912423536,1984,-0.9236862581934551,6,,,-932.2314926072688,1.5,2.0,180,"(420, 570)"
2668,-522.3408230105858,-0.19577991866963487,1.187088852475081,0.636431784107946,3.047904783482263,-5.873900149859246,0.5188894441038973,0.9083239959674407,-0.6579450141742264,3.3509132803096193,-33.881195370950884,32.99140946712452,-1.8606498672883829,-0.6905260596747933,-0.9405616047680662,-615.8914630905115,-314.21208519568796,1851,-0.8481053145135304,6,,,-742.1008900030474,1.5,2.0,180,"(450, 570)"
2248,-352.3165823515551,-0.1567244583414391,1.2325591895417984,0.6427935943060499,3.084091368941713,-5.988578593365294,0.5149955571024077,0.9267354670149182,-0.738484851637101,3.3623234966792928,-33.881195370950884,32.26681723062904,-1.3489353746720691,-0.5300337118579019,-0.7050483544338955,-403.010747323506,-219.89477571276788,1661,-0.8742113819330353,7,,,-554.5008489663007,1.5,2.0,180,"(480, 570)"
