n,total_pts,expectancy_pts,median_pts,win_rate,avg_win,avg_loss,payoff,profit_factor,skew,kurtosis,worst,best,t_stat,sharpe_d,sortino_d,max_dd_pts,avg_dd_pts,longest_dd_days,recovery_factor,longest_losing_streak,share_top5,share_top1pct,pnl_wo_top10,level,stop_sigma,time_stop,window
2740,-1144.2602505199857,-0.4176132301167831,0.17686179810802782,0.5240875912408759,1.8254905285449536,-2.8877796391951986,0.6321432922955657,0.6961332574665893,0.05883383377963914,4.3296835423385485,-16.1678289296244,25.770865610384497,-7.231533674850313,-2.6671694078392125,-3.8689054017437274,-1179.9148658272022,-643.977360399707,1872,-0.9697820441628137,12,,,-1286.0298441246096,1.5,1.5,120,"(450, 570)"
2294,-975.3580476913797,-0.42517787606424573,0.17140164352465304,0.522667829119442,1.871548767354765,-2.9400411139267058,0.6365723113494604,0.6970321473132447,0.17174253143549634,4.416651764770364,-16.1678289296244,25.770865610384497,-6.602333228302616,-2.557749594968435,-3.860858769782502,-1009.8645588766962,-548.7754225313048,1705,-0.9658305553136033,10,,,-1117.1135165683943,1.5,1.5,120,"(480, 570)"
3177,-1388.1289328626033,-0.436930731149702,0.18382885138148408,0.5256531318854265,1.8006280886181443,-2.91650818902117,0.617391747911555,0.6841700192516901,0.2282940008442184,7.227044824164758,-17.435432162365693,31.0823032457105,-8.07458978134013,-2.9294744168197164,-4.1211537978675095,-1418.9417971393532,-778.264320990348,2016,-0.9782846172134174,11,,,-1546.9755466565243,1.5,1.5,180,"(420, 570)"
2740,-1147.4695449007004,-0.41878450543821183,0.21831229652436646,0.5273722627737226,1.8485323890396308,-2.948724978427001,0.6268920983013246,0.6995050826605513,0.33978625206935054,7.206707309366951,-16.1678289296244,31.0823032457105,-7.075710286746143,-2.603925669126825,-3.839650823265328,-1188.4524027183895,-646.6850173498844,1872,-0.965515776884343,12,,,-1302.173441751035,1.5,1.5,180,"(450, 570)"
2294,-965.0111876815089,-0.42066747501373536,0.20941416506607125,0.527898866608544,1.8844996270453023,-2.9982827664204703,0.6285263178479763,0.7028119768364721,0.47125087855990855,7.6636582409758605,-16.1678289296244,31.0823032457105,-6.377627087525263,-2.4654595517340785,-3.7659615046532746,-1001.3176988668254,-540.1006968418143,1705,-0.9637412669062203,10,,,-1119.7009598042337,1.5,1.5,180,"(480, 570)"
3177,-1417.9568632120333,-0.4463194407340363,0.1827944353430193,0.5253383695310041,1.8032849002825526,-2.936100372535553,0.6141768575592921,0.679748789964495,0.20386273770756347,7.129707580743175,-17.435432162365693,31.0823032457105,-8.224524437454912,-2.9853733356878482,-4.199702056829726,-1448.7697274887828,-783.9747209709599,2016,-0.9787317033948717,11,,,-1574.8678217261904,1.5,1.5,240,"(420, 570)"
2740,-1164.2372009166975,-0.424904087925802,0.2070443437222802,0.5262773722627737,1.8547804329643385,-2.957496598806836,0.6271454153869951,0.6967208697904831,0.3367146266424793,7.1348133743338735,-16.1678289296244,31.0823032457105,-7.162402639554424,-2.636616615067709,-3.8972324677799524,-1205.2200587343827,-649.9759430369832,1872,-0.9659955395525724,12,,,-1318.941097767032,1.5,1.5,240,"(450, 570)"
2294,-973.3339563049866,-0.42429553457061314,0.18965964413964498,0.52615518744551,1.8923565876093675,-2.9966958211126884,0.6314810379742599,0.7011937560578948,0.46804945597117825,7.632311084411124,-16.1678289296244,31.0823032457105,-6.424094423101211,-2.4840649143147138,-3.797841836997596,-1009.6404674903029,-540.4986451282455,1705,-0.9640401584976698,10,,,-1128.0237284277118,1.5,1.5,240,"(480, 570)"
3053,-1210.9361701153828,-0.3966381166444097,0.36134218257611606,0.5715689485751719,1.7164131609793767,-3.2156553027709442,0.5337677702894138,0.7120984397209686,-0.5944298811901004,5.5196173115673774,-23.063242883154295,25.770865610384497,-6.733758693144888,-2.490616305957074,-3.2586461819102452,-1236.9064770820394,-662.5026689858305,2016,-0.9790038232899144,10,,,-1362.960127334051,1.5,2.0,120,"(420, 570)"
2639,-938.0781686428738,-0.35546728633682223,0.42687320926611205,0.581659719590754,1.7690325140502856,-3.309368729809839,0.5345528584093248,0.7432415196180375,-0.45949980546374064,4.716213132755974,-20.102337561637434,25.770865610384497,-5.518227089371258,-2.0506351536098317,-2.7670098110598995,-971.4611495816647,-520.7452880944412,1872,-0.9656363191125653,12,,,-1087.5544226529996,1.5,2.0,120,"(450, 570)"
