candidate,instrument,split,t_entry,side,mae,mfe,pnl_pts
M2-CTX,SPX500,TRAIN,2006-05-09 14:41:00+00:00,-1,1.5,0.5,-1.4392356646631015
M2-CTX,SPX500,TRAIN,2006-05-09 15:15:00+00:00,-1,1.2000000000000455,1.5,1.5
M2-CTX,SPX500,TRAIN,2006-05-15 14:20:00+00:00,-1,1.7000000000000455,4.2000000000000455,3.2964627567550906
M2-CTX,SPX500,TRAIN,2006-05-16 15:43:00+00:00,1,0.7999999999999545,5.2000000000000455,4.588690477384716
M2-CTX,SPX500,TRAIN,2006-05-19 14:23:00+00:00,1,0.7000000000000455,3.2999999999999545,3.2905050987928917
M2-CTX,SPX500,TRAIN,2006-05-19 16:45:00+00:00,-1,2.5,5.5,5.307914249084433
M2-CTX,SPX500,TRAIN,2006-05-22 15:51:00+00:00,1,1.2000000000000455,7.0,6.922721820782726
M2-CTX,SPX500,TRAIN,2006-05-29 14:59:00+00:00,1,0.7000000000000455,0.2999999999999545,-0.5
M2-CTX,SPX500,TRAIN,2006-05-30 13:48:00+00:00,1,4.5,1.5,-4.231785075590778
M2-CTX,SPX500,TRAIN,2006-06-06 13:39:00+00:00,1,3.5,0.5,-2.4618883246851055
M2-CTX,SPX500,TRAIN,2006-06-08 15:21:00+00:00,1,7.7999999999999545,1.0,-6.75307238686014
M2-CTX,SPX500,TRAIN,2006-06-09 13:57:00+00:00,-1,0.2999999999999545,3.5,3.3218579381343716
M2-CTX,SPX500,TRAIN,2006-06-09 16:58:00+00:00,1,2.5,5.2000000000000455,4.9429824499784445
M2-CTX,SPX500,TRAIN,2006-06-12 14:19:00+00:00,1,0.0,5.0,4.810600019455023
M2-CTX,SPX500,TRAIN,2006-06-13 13:45:00+00:00,-1,3.5,6.0,5.592040197263486
M2-CTX,SPX500,TRAIN,2006-06-15 14:45:00+00:00,-1,6.300000000000182,3.699999999999818,-6.282313071444605
M2-CTX,SPX500,TRAIN,2006-06-19 17:14:00+00:00,1,5.5,2.5,-3.5
M2-CTX,SPX500,TRAIN,2006-06-20 15:09:00+00:00,-1,3.7000000000000455,3.2999999999999545,2.841440556532689
M2-CTX,SPX500,TRAIN,2006-06-28 14:52:00+00:00,1,2.199999999999818,2.0,1.7358046697411282
M2-CTX,SPX500,TRAIN,2006-07-11 13:35:00+00:00,1,0.0,2.0,1.7221569952682785
M2-CTX,SPX500,TRAIN,2006-07-11 14:10:00+00:00,1,2.7000000000000455,2.2999999999999545,-2.588644966192078
M2-CTX,SPX500,TRAIN,2006-07-14 15:03:00+00:00,1,6.199999999999818,0.7000000000000455,-4.554645325339607
M2-CTX,SPX500,TRAIN,2006-07-18 17:21:00+00:00,1,1.699999999999818,6.5,6.165332955935355
M2-CTX,SPX500,TRAIN,2006-07-19 14:01:00+00:00,-1,6.5,2.699999999999818,-6.2986995886979
M2-CTX,SPX500,TRAIN,2006-07-21 13:49:00+00:00,1,4.0,3.0,2.47450604581104
M2-CTX,SPX500,TRAIN,2006-08-04 17:15:00+00:00,1,5.7000000000000455,2.2000000000000455,1.7000000000000455
M2-CTX,SPX500,TRAIN,2006-08-10 15:13:00+00:00,-1,4.0,4.0,-0.2999999999999545
M2-CTX,SPX500,TRAIN,2006-08-14 15:10:00+00:00,-1,2.7000000000000455,0.5,-2.5232450548448924
M2-CTX,SPX500,TRAIN,2006-08-28 14:33:00+00:00,-1,4.2000000000000455,1.2999999999999545,-2.0
M2-CTX,SPX500,TRAIN,2006-09-11 17:21:00+00:00,-1,2.0,3.7000000000000455,1.0
M2-CTX,SPX500,TRAIN,2006-09-13 13:34:00+00:00,1,0.0,1.7000000000000455,1.2910447263006972
M2-CTX,SPX500,TRAIN,2006-09-19 15:42:00+00:00,1,4.0,0.7000000000000455,-3.9234316100917113
M2-CTX,SPX500,TRAIN,2006-09-21 16:45:00+00:00,1,5.2000000000000455,0.5,-4.53429013645632
M2-CTX,SPX500,TRAIN,2006-09-27 14:01:00+00:00,-1,0.2999999999999545,4.0,3.1488288389671197
M2-CTX,SPX500,TRAIN,2006-10-03 15:26:00+00:00,-1,3.7000000000000455,1.699999999999818,-3.3698069865417892
M2-CTX,SPX500,TRAIN,2006-10-04 14:35:00+00:00,-1,5.0,2.2000000000000455,-4.197236080615312
M2-CTX,SPX500,TRAIN,2006-10-06 13:35:00+00:00,1,2.5,1.2999999999999545,0.5304928245764131
M2-CTX,SPX500,TRAIN,2006-10-09 17:28:00+00:00,-1,1.199999999999818,2.2000000000000455,1.2000000000000455
M2-CTX,SPX500,TRAIN,2006-10-13 17:27:00+00:00,-1,2.2000000000000455,2.0,1.819186505846119
M2-CTX,SPX500,TRAIN,2006-10-19 14:07:00+00:00,-1,2.0,1.800000000000182,1.6094457843928467
M2-CTX,SPX500,TRAIN,2006-10-24 13:47:00+00:00,-1,1.300000000000182,2.0,1.4675930245275595
M2-CTX,SPX500,TRAIN,2006-10-26 14:23:00+00:00,1,3.2999999999999545,0.0,-2.920154152935993
M2-CTX,SPX500,TRAIN,2006-10-30 16:12:00+00:00,-1,0.5,3.0,2.802370834563817
M2-CTX,SPX500,TRAIN,2006-10-31 15:11:00+00:00,1,2.0,1.699999999999818,1.5066246145029254
M2-CTX,SPX500,TRAIN,2006-10-31 17:38:00+00:00,1,1.2000000000000455,3.7999999999999545,3.634164506367142
M2-CTX,SPX500,TRAIN,2006-11-09 18:17:00+00:00,1,3.699999999999818,1.300000000000182,-3.450949394175268
M2-CTX,SPX500,TRAIN,2006-11-13 14:55:00+00:00,-1,3.2999999999999545,0.0,-2.7999999999999545
M2-CTX,SPX500,TRAIN,2006-11-15 14:45:00+00:00,-1,2.2000000000000455,0.5,-1.8562318360516201
M2-CTX,SPX500,TRAIN,2006-11-27 14:59:00+00:00,1,4.5,0.5,-4.08331492312027
M2-CTX,SPX500,TRAIN,2006-11-29 14:49:00+00:00,-1,4.0,2.7000000000000455,-3.407056557201713
M2-CTX,SPX500,TRAIN,2006-12-01 15:09:00+00:00,1,5.2000000000000455,2.5,1.8309650595426774
M2-CTX,SPX500,TRAIN,2006-12-06 18:04:00+00:00,-1,0.5,1.7999999999999545,1.6374467225330136
M2-CTX,SPX500,TRAIN,2006-12-08 16:22:00+00:00,-1,1.7000000000000455,4.5,4.058260583973606
M2-CTX,SPX500,TRAIN,2006-12-14 14:49:00+00:00,-1,2.800000000000182,0.1999999999998181,-2.5
M2-CTX,SPX500,TRAIN,2006-12-18 14:57:00+00:00,-1,0.8999999999998636,1.7999999999999545,1.667494614966472
M2-CTX,SPX500,TRAIN,2006-12-18 17:09:00+00:00,1,1.0,3.0,2.9278649776936163
M2-CTX,SPX500,TRAIN,2006-12-21 15:24:00+00:00,1,0.0,2.0,1.984709642269081
M2-CTX,SPX500,TRAIN,2006-12-21 15:59:00+00:00,1,2.8999999999998636,2.300000000000182,-2.7394920402400658
M2-CTX,SPX500,TRAIN,2006-12-21 17:34:00+00:00,1,2.900000000000091,1.5,0.5
M2-CTX,SPX500,TRAIN,2006-12-22 14:36:00+00:00,1,1.900000000000091,0.2999999999999545,-1.8764410687599593
M2-CTX,SPX500,TRAIN,2006-12-29 14:31:00+00:00,1,0.0,2.2000000000000455,1.7306434308425196
